u,g,r,i,z,CLASS
20.9765,19.3813,18.4569,18.0107,17.6837,GALAXY
22.5041,20.8679,19.2639,18.6637,18.3266,GALAXY
23.5815,21.3562,19.5778,19.0127,18.5784,GALAXY
21.0533,19.3273,18.3409,17.9307,17.5748,GALAXY
24.1092,23.0842,21.4611,20.4835,20.213,STAR_LATE
21.0752,19.739,18.9031,18.4982,18.1652,GALAXY
22.4954,20.2379,18.831,18.3112,17.9682,GALAXY
19.7607,19.0553,19.0344,19.1652,18.8731,QSO
20.8808,18.8633,17.7984,17.3463,16.9699,GALAXY
18.5658,17.5353,17.4974,17.5193,17.5808,STAR
22.3311,20.129,18.6421,18.0912,17.7403,GALAXY
20.1535,19.2771,18.7781,18.4792,18.3041,GALAXY
21.3065,19.4092,18.4025,17.9743,17.6211,GALAXY
23.3133,21.7877,19.9469,19.1891,18.7198,GALAXY
21.1222,19.6522,18.7685,18.3383,18.04,GALAXY
20.1525,18.2601,17.3441,16.9402,16.6304,GALAXY
20.9118,19.6102,18.9515,18.5423,18.2829,GALAXY
20.5881,19.1081,18.792,18.6532,18.1592,QSO
20.7581,19.4792,18.7245,18.2973,18.007,GALAXY
20.8588,19.6052,18.8175,18.3563,18.055,GALAXY
20.5491,18.9748,18.3611,18.0167,17.7733,GALAXY
20.6651,19.0842,18.0625,17.5813,17.1571,GALAXY
20.1794,18.8368,18.0621,17.6507,17.3534,GALAXY
20.0354,17.9973,17.0922,16.6579,16.3244,GALAXY
21.5337,20.2311,19.5459,19.1788,18.9448,GALAXY
24.6399,21.8048,20.1568,19.4158,18.9977,GALAXY
25.5284,21.963,20.1178,19.4158,19.0057,GALAXY
19.8361,18.7052,18.242,17.9779,17.7695,GALAXY
19.0157,18.7083,18.4442,18.4389,18.441,QSO
20.2731,19.0692,18.3959,17.9547,17.7027,GALAXY
19.4493,19.2831,19.2778,19.1186,19.0717,QSO
21.4583,19.8611,18.7348,18.2527,17.8997,GALAXY
21.2951,19.9171,19.2078,18.8017,18.5624,GALAXY
19.3506,17.5513,16.7332,16.3309,16.0144,GALAXY
19.9955,17.9503,17.0152,16.5769,16.2274,GALAXY
20.5209,19.5341,19.0668,18.6787,18.5194,GALAXY
21.8444,20.5211,19.903,19.5768,19.3566,GALAXY
23.5658,21.8646,20.133,19.4998,19.0973,GALAXY
21.4653,20.0111,18.9519,18.5127,18.2066,GALAXY
23.2348,20.9877,19.466,18.8658,18.5153,GALAXY
21.1683,20.0311,19.4129,19.0858,18.9398,GALAXY
23.1175,20.8479,19.2931,18.7369,18.3531,GALAXY
21.2417,19.2792,18.2584,17.8413,17.4478,GALAXY
23.4862,21.8534,20.1041,19.4068,18.9677,GALAXY
19.9706,18.0382,17.1685,16.7543,16.4421,GALAXY
21.5342,19.6171,18.6304,18.2263,17.883,GALAXY
21.3845,20.1659,19.3692,18.9859,18.707,GALAXY
18.0867,17.1722,16.8774,16.7513,16.7448,STAR
21.1708,19.8187,19.121,18.6117,18.2792,GALAXY
24.6887,22.3088,20.4737,19.756,19.2788,GALAXY
21.5332,19.6252,18.5824,18.1163,17.7258,GALAXY
20.0394,18.726,17.966,17.5262,17.2483,GALAXY
20.1363,19.6317,19.422,19.0596,19.0224,QSO
23.3323,21.2479,19.544,18.9456,18.587,GALAXY
21.0803,20.0071,19.4784,19.1502,18.9533,GALAXY
21.4902,19.8177,18.919,18.4577,18.1322,GALAXY
22.6057,20.43,19.0234,18.5053,18.1679,GALAXY
20.2512,19.3887,19.014,18.6876,18.603,GALAXY
20.1635,19.9022,19.6703,19.4572,19.4517,QSO
20.619,18.8432,18.0194,17.6293,17.3438,GALAXY
22.5588,20.6089,19.0214,18.4473,18.003,GALAXY
21.9788,19.5371,17.803,16.7268,16.1536,STAR_LATE
21.0969,19.5662,18.7841,18.3799,18.1042,GALAXY
21.2166,19.7542,19.0191,18.5639,18.2601,GALAXY
22.3266,19.969,18.5068,17.9867,17.6227,GALAXY
20.8235,19.8061,19.4231,19.1788,19.0334,GALAXY
20.151,18.8531,18.2408,17.8497,17.5907,GALAXY
19.22,18.2232,17.918,17.8108,17.8105,STAR
20.5657,20.193,19.2858,18.7327,18.4754,QSO
20.3198,19.2441,18.9258,18.6407,18.5563,GALAXY
21.4453,19.6841,18.8991,18.5429,18.2441,GALAXY
